datum,n_vrstic,n_vzs,n_cak,delez_praznih,agregat_bal,agregat_vse,dni_od_prej,dif,dif_na_teden,dif_rel,z_dif,z_praznih,dif_nasl
2024-04-04,374,374,326,0.12834224598930477,303612.0,304298.0,,,,,,0.8591668272004475,161.0
2024-04-11,374,374,329,0.1203208556149733,303773.0,304451.0,7.0,161.0,161.0,0.0005302820705373964,-0.11920666263066967,0.30513862402889846,2356.0
2024-04-18,374,374,325,0.13101604278074863,306129.0,306774.0,7.0,2356.0,2356.0,0.0077557913310267864,1.2157863193811667,1.0438428949242997,706.0
2024-04-25,375,375,327,0.128,306835.0,307508.0,7.0,706.0,706.0,0.0023062173136161553,0.21226084315359037,0.8355282905317976,1484.0
2024-05-03,375,375,325,0.1333333333333333,308531.0,309211.0,8.0,1696.0,1484.0,0.005527400720256815,0.6854383101263506,1.2038954869516376,-427.0
2024-05-09,375,375,330,0.12,308165.0,308858.0,6.0,-366.0,-427.0,-0.0011862665339949633,-0.4768266505226787,0.28297749590203347,-1968.0
2024-05-16,375,375,327,0.128,306197.0,306847.0,7.0,-1968.0,-1968.0,-0.0063861892168156666,-1.414058625593403,0.8355282905317976,-16.0
2024-05-23,375,375,331,0.11733333333333329,306181.0,306856.0,7.0,-16.0,-16.0,-5.2253941090213166e-05,-0.22685757735326423,0.09879389769210953,1146.0
2024-05-30,375,375,332,0.1146666666666667,307327.0,308003.0,7.0,1146.0,1146.0,0.003742884111032363,0.4798676368142774,-0.08538970051780673,-3223.0
2024-06-06,375,375,328,0.1253333333333333,304104.0,304788.0,7.0,-3223.0,-3223.0,-0.010487200929303315,-2.177346184784681,0.6513446923218736,4482.0
2024-06-13,375,375,330,0.12,308586.0,309257.0,7.0,4482.0,4482.0,0.014738378975613605,2.5088136905689407,0.28297749590203347,-2430.0
2024-06-20,375,375,328,0.1253333333333333,306156.0,306768.0,7.0,-2430.0,-2430.0,-0.007874628142559934,-1.6950457589371244,0.6513446923218736,984.0
2024-06-27,375,375,327,0.128,307140.0,307776.0,7.0,984.0,984.0,0.003214047740367656,0.38133968096647897,0.8355282905317976,-198.0
2024-07-04,375,375,329,0.1226666666666667,306942.0,307629.0,7.0,-198.0,-198.0,-0.0006446571596014847,-0.33754947836745747,0.4671610941119574,-752.0
2024-07-11,375,375,329,0.1226666666666667,306190.0,306869.0,7.0,-752.0,-752.0,-0.0024499742622384685,-0.6744907594765952,0.4671610941119574,-7098.0
2024-07-18,375,375,326,0.1306666666666667,299092.0,299778.0,7.0,-7098.0,-7098.0,-0.02318168457493713,-4.534110560773685,1.0197118887417214,-2026.0
2024-07-25,375,375,330,0.12,297066.0,297766.0,7.0,-2026.0,-2026.0,-0.006773835475372126,-1.449334066575948,0.28297749590203347,-2506.0
2024-08-01,375,375,330,0.12,294560.0,295237.0,7.0,-2506.0,-2506.0,-0.008435835807530986,-1.7412687505694249,0.28297749590203347,1159.0
2024-08-08,375,375,330,0.12,295719.0,296388.0,7.0,1159.0,1159.0,0.003934682237914177,0.48777420117243403,0.28297749590203347,-434.875
2024-08-16,375,375,330,0.12,295222.0,295874.0,8.0,-497.0,-434.875,-0.0016806495355388053,-0.48161620393194665,0.28297749590203347,-382.6666666666667
2024-08-22,375,375,329,0.1226666666666667,294894.0,295541.0,6.0,-328.0,-382.6666666666667,-0.0011110283108982392,-0.4498632387371701,0.4671610941119574,12726.0
2024-08-29,375,375,325,0.1333333333333333,307620.0,308272.0,7.0,12726.0,12726.0,0.04315448940975401,7.522791888156903,1.2038954869516376,-2813.0
2024-09-05,375,375,328,0.1253333333333333,304807.0,305452.0,7.0,-2813.0,-2813.0,-0.009144398933749432,-1.9279853088735859,0.6513446923218736,-576.0
2024-09-12,375,375,325,0.1333333333333333,304231.0,304877.0,7.0,-576.0,-576.0,-0.001889720380437457,-0.5674480420123205,1.2038954869516376,265.0
2024-09-19,371,371,326,0.12129380053908356,304496.0,305103.0,7.0,265.0,265.0,0.000871048643958045,-0.05595414776541638,0.3723388103974136,-333.0
2024-09-26,375,375,329,0.1226666666666667,304163.0,304780.0,7.0,-333.0,-333.0,-0.0010936104250958963,-0.4196561082406228,0.4671610941119574,2307.0
2024-10-03,375,375,328,0.1253333333333333,306470.0,307130.0,7.0,2307.0,2307.0,0.00758474896683686,1.1859846537234993,0.6513446923218736,1030.0
2024-10-10,375,375,325,0.1333333333333333,307500.0,308155.0,7.0,1030.0,1030.0,0.0033608509805201164,0.40931675484918717,1.2038954869516376,-2771.0
2024-10-17,375,375,327,0.128,304729.0,305351.0,7.0,-2771.0,-2771.0,-0.009011382113821138,-1.9024410240241567,0.8355282905317976,1723.0
2024-10-24,375,375,324,0.136,306452.0,307073.0,7.0,1723.0,1723.0,0.005654204227362673,0.8307974548647692,1.3880790851615616,1222.0
2024-10-31,375,375,326,0.1306666666666667,307674.0,308338.0,7.0,1222.0,1222.0,0.003987573910432955,0.5260906284465778,1.0197118887417214,101.0
2024-11-07,375,375,326,0.1306666666666667,307775.0,308457.0,7.0,101.0,101.0,0.0003282695320371562,-0.15569849812985426,1.0197118887417214,375.0
2024-11-14,375,375,325,0.1333333333333333,308150.0,308838.0,7.0,375.0,375.0,0.0012184225489399723,0.010947550649755378,1.2038954869516376,-1050.0
2024-11-21,375,375,325,0.1333333333333333,307100.0,307758.0,7.0,-1050.0,-1050.0,-0.003407431445724485,-0.8557335424558787,1.2038954869516376,98.0
2024-11-28,375,375,327,0.128,307198.0,307854.0,7.0,98.0,98.0,0.00031911429501790947,-0.15752308990481348,0.8355282905317976,-1260.0
2024-12-05,374,374,325,0.13101604278074863,305938.0,306619.0,7.0,-1260.0,-1260.0,-0.004101589203054708,-0.9834549667030248,1.0438428949242997,-102.0
2024-12-12,374,374,322,0.13903743315508021,305836.0,306509.0,7.0,-102.0,-102.0,-0.00033340088514666373,-0.27916254156876213,1.5978710980958564,-34.0
2024-12-19,374,374,325,0.13101604278074863,305802.0,306450.0,7.0,-34.0,-34.0,-0.00011117069278959965,-0.2378051280030196,1.0438428949242997,102.89999999999999
2025-01-08,374,374,324,0.1336898395721925,306096.0,306731.0,20.0,294.0,102.89999999999999,0.0009614064002197501,-0.15454292333904676,1.2285189626481519,11.0
2025-01-15,373,373,327,0.1233243967828418,306107.0,306689.0,7.0,11.0,11.0,3.5936438241597406e-05,-0.21043625137863115,0.5125897564050167,1660.0
2025-01-22,371,371,328,0.11590296495956875,307767.0,308346.0,7.0,1660.0,1660.0,0.00542294034438938,0.7924810275906254,0.0,3061.0
2025-01-29,374,374,327,0.1256684491978609,310828.0,311418.0,7.0,3061.0,3061.0,0.009945835648396352,1.6445653864965857,0.6744907594765952,683.0
2025-02-05,374,374,330,0.11764705882352944,311511.0,312126.0,7.0,683.0,683.0,0.0021973567374882572,0.1982723062122363,0.12046255630504626,4463.0
2025-02-12,371,371,331,0.10781671159029649,315974.0,316607.0,7.0,4463.0,4463.0,0.014326941905743296,2.4972579426608656,-0.5585082155961243,-302.0
2025-02-19,374,374,331,0.11497326203208558,315672.0,316298.0,7.0,-302.0,-302.0,-0.0009557748422338547,-0.40080199323271076,-0.06421351141880594,4266.0
2025-02-26,374,374,327,0.1256684491978609,319938.0,320563.0,7.0,4266.0,4266.0,0.013514027218125143,2.3774430827718764,0.6744907594765952,221.0
2025-03-05,374,374,326,0.12834224598930477,320159.0,320792.0,7.0,221.0,221.0,0.0006907588345241891,-0.08271482713148508,0.8591668272004475,1862.0
2025-03-12,374,374,323,0.13636363636363635,322021.0,322653.0,7.0,1862.0,1862.0,0.005815860244441044,0.9153368737712135,1.413195030372004,319.0
